districts,statecode,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
Chitradurga,KA,45062,47252,17,12,0,0,0
Dakshina Kannada,KA,5124,38765,192,193,9,0,0
Davanagere,KA,7079,28149,10,11,1,0,0
Dharwad,KA,24515,35313,4,10,3,0,0
Gadag,KA,12373,16257,0,0,0,0,0
Hassan,KA,5434,26697,147,125,5,0,0
Haveri,KA,8794,36386,1,2,1,0,0
Kalaburagi,KA,35135,44220,9,5,0,0,0
Kodagu,KA,1558,12680,112,67,0,0,0
Kolar,KA,13745,34211,18,31,3,0,0
Koppal,KA,16045,33794,1,5,0,0,0
Mandya,KA,5411,28944,48,36,0,0,0
Mysuru,KA,46664,111457,234,247,7,0,0
Raichur,KA,19900,34897,1,4,0,0,0
Ramanagara,KA,6303,28767,8,10,2,0,0
Shivamogga,KA,23220,47086,30,66,0,0,0
Tumakuru,KA,31038,66650,136,112,1,0,0
Udupi,KA,2422,27889,49,75,0,0,0
Uttara Kannada,KA,3955,32067,66,48,0,0,0
Vijayapura,KA,59571,50033,2,2,0,0,0
Yadgir,KA,18060,15460,0,2,0,0,0
Alappuzha,KL,5337,51712,2035,2526,228,0,0
Ernakulam,KL,13018,91762,7647,8539,742,0,0
Idukki,KL,2211,27218,2876,1866,71,0,0
Kannur,KL,7636,71089,2611,3143,301,0,0
Kasaragod,KL,4942,24290,1054,1082,31,0,0
Kollam,KL,7368,62100,4753,6283,161,0,0
Kottayam,KL,5298,58083,4187,1611,101,0,0
Kozhikode,KL,11449,57479,5386,5059,513,0,0
Malappuram,KL,20840,52896,2634,2929,108,0,0
Palakkad,KL,8712,57261,2560,2544,175,0,0
Pathanamthitta,KL,2637,29343,2953,2635,122,0,0
Thiruvananthapuram,KL,9284,89297,7056,4851,118,0,0
Thrissur,KL,8853,87643,5751,3647,388,0,0
Wayanad,KL,2223,32359,1823,1691,30,0,0
Kargil,LA,205,748,4,0,0,0,0
Leh,LA,320,785,54,28,0,0,0
Lakshadweep,LD,69,796,0,0,0,1625,0
Ahmednagar,MH,44180,28319,866,728,26,0,0
Akola,MH,26579,10081,3,7,0,0,0
Amravati,MH,29961,21747,3,0,0,0,0
Aurangabad,MH,46323,34109,156,157,1,0,0
Beed,MH,34333,24584,69,35,5,0,0
Bhandara,MH,5080,16415,0,1,0,0,0
Buldhana,MH,34272,24089,16,16,1,0,0
Chandrapur,MH,22248,18994,7,0,0,0,0
Dhule,MH,23261,19364,5,4,0,0,0
Gadchiroli,MH,14790,10994,2,5,0,0,0
Gondia,MH,8593,23092,2,3,0,0,0
Hingoli,MH,42054,16145,0,3,0,0,0
Jalgaon,MH,37870,21599,4,11,0,0,0
Jalna,MH,112537,35713,15,47,0,0,0
Kolhapur,MH,19104,23088,55,115,2,0,0
Latur,MH,82644,33519,39,0,3,0,0
Mumbai,MH,98915,219736,2242,2604,34,0,7
Nagpur,MH,58567,71818,35,43,0,0,0
Nanded,MH,144423,41697,28,22,0,0,0
Nandurbar,MH,19572,12517,2,1,0,0,0
Nashik,MH,143768,58112,456,519,12,0,0
Osmanabad,MH,44954,11658,89,154,1,0,0
Palghar,MH,32112,39231,204,326,0,0,0
Parbhani,MH,44477,20480,13,9,1,0,0
Pune,MH,85256,136336,1536,5294,20,0,0
Raigad,MH,21737,31684,267,359,10,0,0
Ratnagiri,MH,10880,7924,91,160,4,0,0
Sangli,MH,11974,19041,155,375,4,0,0
Satara,MH,16690,30950,157,501,17,0,0
Sindhudurg,MH,3915,5195,91,259,4,0,0
Solapur,MH,77398,34204,253,370,11,0,0
Thane,MH,108643,120708,1241,3002,44,0,0
Wardha,MH,16481,14040,5,4,0,0,0
Washim,MH,30932,19238,4,5,0,0,0
Yavatmal,MH,56233,26091,6,7,0,0,0
East Garo Hills,ML,482,1424,5,2,0,0,0
East Jaintia Hills,ML,483,2964,2,3,0,0,0
East Khasi Hills,ML,1847,10698,171,286,2,0,0
North Garo Hills,ML,596,3614,3,2,0,0,0
Ribhoi,ML,884,3492,14,23,0,0,0
South Garo Hills,ML,329,1346,0,1,0,0,0
South West Garo Hills,ML,924,4509,3,3,0,0,0
South West Khasi Hills,ML,61,552,6,1,0,0,0
West Garo Hills,ML,1409,8093,8,11,0,0,0
West Jaintia Hills,ML,411,3480,11,31,2,0,0
West Khasi Hills,ML,443,1763,33,97,0,0,0
Bishnupur,MN,685,8679,0,0,0,0,0
Chandel,MN,98,1337,0,0,0,0,0
Churachandpur,MN,345,3560,0,0,0,0,0
Imphal East,MN,2402,19169,0,0,0,0,0
Imphal West,MN,1861,17353,0,0,0,0,0
Jiribam,MN,70,1927,0,0,0,0,0
Kakching,MN,214,2450,0,0,0,0,0
Kamjong,MN,129,736,0,0,0,0,0
Kangpokpi,MN,291,1472,0,0,0,0,0
Noney,MN,98,1211,0,0,0,0,0
Pherzawl,MN,55,711,0,0,0,0,0
Senapati,MN,425,1940,0,0,0,0,0
Tamenglong,MN,174,1204,0,0,0,0,0
Tengnoupal,MN,93,1176,0,0,0,0,0
Thoubal,MN,378,6574,0,0,0,0,0
Ukhrul,MN,362,1775,0,0,0,0,0
Unknown,MN,0,0,439,652,10,0,0
Agar Malwa,MP,965,16911,0,0,0,0,0
Alirajpur,MP,921,8076,0,0,0,0,0
Anuppur,MP,995,18360,0,0,0,0,0
Ashoknagar,MP,1258,17334,0,0,0,0,0
Balaghat,MP,15838,71692,2,0,0,0,0
Barwani,MP,1615,16619,0,0,0,0,0
Betul,MP,2361,31953,1,0,0,0,0
Bhind,MP,1525,30042,0,0,0,0,0
Bhopal,MP,4130,38750,38,0,0,0,0
Burhanpur,MP,762,6561,0,0,0,0,0
Chhatarpur,MP,3103,27937,0,0,0,0,0
Chhindwara,MP,4654,93453,2,0,0,0,0
Damoh,MP,4298,52314,0,0,0,0,0
Datia,MP,1963,45226,0,0,0,0,0
Dewas,MP,1804,22992,0,0,0,0,0
Dhar,MP,5034,83699,7,0,0,0,0
Dindori,MP,1342,21481,0,0,0,0,0
Guna,MP,3347,32837,0,0,0,0,0
Gwalior,MP,8800,41193,2,0,0,0,0
Harda,MP,1075,24810,0,0,0,0,0
Hoshangabad,MP,1498,39507,0,0,0,0,0
Indore,MP,4233,45203,39,0,0,0,0
Jabalpur,MP,5968,156306,3,0,0,0,0
Jhabua,MP,3578,21040,1,0,0,0,0
Katni,MP,2926,42360,0,0,0,0,0
Khandwa,MP,880,13668,0,0,0,0,0
Khargone,MP,3049,32932,0,0,0,0,0
Mandla,MP,2286,53670,0,0,0,0,0
Mandsaur,MP,2058,37337,0,0,0,0,0
Morena,MP,2814,112629,0,0,0,0,0
Narsinghpur,MP,1266,34365,5,0,0,0,0
Neemuch,MP,970,17955,0,0,0,0,0
Panna,MP,2633,18657,0,0,0,0,0
Raisen,MP,1644,22044,0,0,0,0,0
Rajgarh,MP,2483,41531,1,0,0,0,0
Ratlam,MP,1894,51080,0,0,0,0,0
Rewa,MP,6664,104963,0,0,0,0,0
Sagar,MP,6321,60800,2,0,0,0,0
Satna,MP,3426,40519,0,0,0,0,0
Sehore,MP,2325,32101,0,0,0,0,0
Seoni,MP,2162,38081,0,0,0,0,0
Shahdol,MP,857,22928,0,0,0,0,0
Shajapur,MP,1971,51596,0,0,0,0,0
Sheopur,MP,1338,16952,0,0,0,0,0
Shivpuri,MP,3082,38901,0,0,0,0,0
Sidhi,MP,1867,19145,0,0,0,0,0
Singrauli,MP,3052,21200,1,0,0,0,0
Tikamgarh,MP,3331,24497,0,0,0,0,0
Ujjain,MP,4210,65566,1,0,0,0,0
Umaria,MP,955,28084,0,0,0,0,0
Unknown,MP,0,0,0,74,1,0,0
Vidisha,MP,1222,26130,0,0,0,0,0
Aizawl,MZ,443,3740,1996,3014,6,0,0
Champhai,MZ,344,572,299,319,3,0,0
Hnahthial,MZ,0,0,143,185,0,0,0
Khawzawl,MZ,0,0,42,26,0,0,0
Kolasib,MZ,153,738,94,154,0,0,0
Lawngtlai,MZ,2765,1838,98,245,1,0,0
Lunglei,MZ,263,1493,662,507,1,0,0
Mamit,MZ,228,1322,241,265,5,0,0
Saiha,MZ,68,1116,107,345,5,0,0
Saitual,MZ,0,0,30,53,0,0,0
Serchhip,MZ,36,431,386,572,0,0,0
Dimapur,NL,2827,12731,68,73,2,0,10
Kiphire,NL,116,357,2,1,0,0,0
Kohima,NL,509,3038,23,24,0,0,2
Longleng,NL,26,181,0,7,0,0,0
Mokokchung,NL,146,2026,23,5,2,0,0
Mon,NL,243,1864,1,0,0,0,0
Peren,NL,189,613,1,1,0,0,0
Phek,NL,99,496,4,1,0,0,1
Tuensang,NL,106,525,2,28,1,0,0
Wokha,NL,122,1074,6,4,0,0,0
Zunheboto,NL,331,807,0,0,1,0,0
Angul,OR,21629,23378,16,20,2,0,0
Balangir,OR,20119,39059,4,15,0,0,0
Balasore,OR,78274,35314,67,80,1,0,0
Bargarh,OR,52192,32028,18,16,0,0,0
Bhadrak,OR,14511,38206,44,39,1,0,0
Boudh,OR,7009,16754,0,4,0,0,0
Cuttack,OR,75381,45717,277,304,1,0,0
Deogarh,OR,1126,4779,41,10,0,0,0
Dhenkanal,OR,18302,23327,25,16,0,0,0
Gajapati,OR,4770,10942,15,11,0,0,0
Ganjam,OR,27002,112716,22,18,0,0,0
Jagatsinghpur,OR,28276,25051,76,78,1,0,0
Jajpur,OR,30726,37471,75,73,0,0,0
Jharsuguda,OR,7187,14725,13,10,0,0,0
Kalahandi,OR,38214,26926,15,1,0,0,0
Kandhamal,OR,12881,12319,0,5,0,0,0
Kendrapara,OR,28635,34297,62,52,1,0,0
Kendujhar,OR,25529,46488,4,3,2,0,0
Khordha,OR,34733,49859,1492,1654,8,0,0
Koraput,OR,13011,35701,11,20,0,0,0
Malkangiri,OR,13449,16141,2,4,0,0,0
Mayurbhanj,OR,86170,36315,126,93,5,0,0
Nabarangapur,OR,13213,18025,1,2,0,0,0
Nayagarh,OR,7145,22575,28,24,1,0,0
Nuapada,OR,3391,14721,36,5,0,0,0
Puri,OR,25187,40854,68,69,1,0,0
Rayagada,OR,5781,16558,18,16,0,0,0
Sambalpur,OR,8960,31518,88,113,0,0,0
State Pool,OR,0,0,338,401,0,0,0
Subarnapur,OR,8102,31803,5,3,0,0,0
Sundargarh,OR,19935,22587,59,71,0,0,0
Amritsar,PB,23376,18084,23,9,2,0,0
Barnala,PB,9552,5253,2,0,0,0,0
Bathinda,PB,8246,6940,15,8,0,0,0
Faridkot,PB,3048,4201,7,7,0,0,0
Fatehgarh Sahib,PB,2513,4804,2,1,1,0,0
Fazilka,PB,8408,5707,8,4,0,0,0
Ferozepur,PB,4483,4723,13,9,0,0,0
Gurdaspur,PB,18212,26825,3,3,1,0,0
Hoshiarpur,PB,6567,17487,10,12,2,0,0
Jalandhar,PB,13877,22309,20,12,1,0,0
Kapurthala,PB,5387,6146,2,7,0,0,0
Ludhiana,PB,41184,30055,16,24,1,0,0
Mansa,PB,5340,4111,0,1,0,0,0
Moga,PB,5076,6757,1,8,0,0,0
Pathankot,PB,1762,6090,20,7,0,0,0
Patiala,PB,7659,10721,6,15,0,0,0
Rupnagar,PB,1965,5708,20,7,0,0,0
S.A.S. Nagar,PB,4914,9234,18,21,0,0,0
Sangrur,PB,13224,9058,3,3,0,0,0
Shahid Bhagat Singh Nagar,PB,2473,4917,1,1,0,0,0
Sri Muktsar Sahib,PB,3942,5830,2,0,0,0,0
Tarn Taran,PB,8846,8145,0,3,0,0,0
Karaikal,PY,763,2980,53,63,0,0,0
Mahe,PY,109,1003,58,46,0,0,0
Puducherry,PY,7191,15005,163,202,0,0,0
Yanam,PY,259,1082,4,4,0,0,0
Ajmer,RJ,9133,56199,6,8,0,0,0
Alwar,RJ,21681,29417,0,0,0,0,0
Banswara,RJ,10612,22206,0,0,0,0,0
Baran,RJ,6599,15157,1,0,0,0,0
Barmer,RJ,5670,16673,1,0,0,0,0
Bharatpur,RJ,10069,22595,0,0,0,0,0
Bhilwara,RJ,5405,26146,0,0,0,0,0
Bikaner,RJ,6565,17712,2,1,0,0,0
Bundi,RJ,12488,24243,0,0,0,0,0
Chittorgarh,RJ,6118,29167,0,0,0,0,0
Churu,RJ,5483,26038,0,0,0,0,0
Dausa,RJ,5627,29672,0,0,0,0,0
Dholpur,RJ,4270,11868,0,2,0,0,0
Dungarpur,RJ,6673,19241,0,0,0,0,0
Ganganagar,RJ,11153,29478,1,0,0,0,0
Hanumangarh,RJ,5057,30733,0,0,0,0,0
Jaipur,RJ,24518,63582,16,9,0,0,0
Jaisalmer,RJ,2951,9700,0,0,0,0,0
Jalore,RJ,9304,26896,0,0,0,0,0
Jhalawar,RJ,2527,16443,0,0,0,0,0
Jhunjhunu,RJ,7946,42099,0,0,0,0,0
Jodhpur,RJ,7707,22507,0,3,0,0,0
Karauli,RJ,19063,20813,0,0,0,0,0
Kota,RJ,2612,26626,0,0,0,0,0
Nagaur,RJ,6806,36157,0,0,0,0,0
Pali,RJ,7082,26853,0,1,0,0,0
Pratapgarh,RJ,1130,25717,0,0,0,0,0
Rajsamand,RJ,4092,14945,0,0,0,0,0
Sawai Madhopur,RJ,8475,18843,0,2,0,0,0
Sikar,RJ,4520,20308,0,0,0,0,0
Sirohi,RJ,9007,15482,0,0,0,0,0
Tonk,RJ,2623,16223,0,0,0,0,0
Udaipur,RJ,16803,51655,0,0,0,0,0
East Sikkim,SK,528,10519,0,0,0,0,0
North Sikkim,SK,23,447,0,0,0,0,0
South Sikkim,SK,164,2223,0,0,0,0,0
Unknown,SK,0,0,79,76,2,0,6
West Sikkim,SK,67,855,0,0,0,0,0
Adilabad,TG,11894,12694,0,0,0,0,0
Bhadradri Kothagudem,TG,30988,31905,0,0,0,0,0
Hyderabad,TG,48855,123025,0,0,0,0,0
Jagtial,TG,50253,17153,0,0,0,0,0
Jangaon,TG,20821,11508,0,0,0,0,0
Jayashankar Bhupalapally,TG,4191,23712,0,0,0,0,0
