districts,statecode,vaccinated2,vaccinated1,confirmed,recovered,deceased,tested,other
Pilibhit,UP,1,2,0,0,0,0,0
Pratapgarh,UP,1482,1796,0,0,0,0,0
Prayagraj,UP,48,17,0,1,0,0,0
Rae Bareli,UP,429,576,0,0,0,0,0
Rampur,UP,1,3,0,0,0,0,0
Saharanpur,UP,17,6,0,0,0,0,0
Sambhal,UP,411,1708,0,0,0,0,0
Sant Kabir Nagar,UP,202,82,0,0,0,0,0
Shahjahanpur,UP,969,3563,0,0,0,0,0
Shamli,UP,14,24,0,0,0,0,0
Shrawasti,UP,120,37,0,0,0,0,0
Siddharthnagar,UP,2209,250,0,0,0,0,0
Sitapur,UP,197,81,0,0,0,0,0
Sonbhadra,UP,157,200,0,0,0,0,0
Sultanpur,UP,18,2,0,0,0,0,0
Unnao,UP,948,201,0,0,0,0,0
Varanasi,UP,441,159,0,0,0,0,0
Almora,UT,416,37,0,0,0,0,0
Bageshwar,UT,1286,75,0,0,0,0,0
Chamoli,UT,268,13,0,0,0,0,0
Champawat,UT,613,44,1,0,0,0,0
Dehradun,UT,3611,308,3,4,0,0,0
Haridwar,UT,1907,224,1,0,0,0,0
Nainital,UT,288,31,0,3,0,0,0
Pauri Garhwal,UT,108,25,0,0,0,0,0
Pithoragarh,UT,609,89,0,1,0,0,0
Rudraprayag,UT,326,30,0,1,0,0,0
Tehri Garhwal,UT,120,12,0,0,0,0,0
Udham Singh Nagar,UT,3581,167,0,0,0,0,0
Uttarkashi,UT,83,12,0,0,0,0,0
Alipurduar,WB,1298,579,4,5,0,0,0
Bankura,WB,5692,38854,30,21,0,0,0
Birbhum,WB,2868,6911,20,20,0,0,0
Cooch Behar,WB,395,3386,10,13,0,0,0
Dakshin Dinajpur,WB,998,724,14,16,0,0,0
Darjeeling,WB,1844,945,23,31,0,0,0
Hooghly,WB,9034,41006,58,74,0,0,0
Howrah,WB,4502,14299,73,73,0,0,0
Jalpaiguri,WB,3130,9642,16,17,1,0,0
Jhargram,WB,700,477,3,5,0,0,0
Kalimpong,WB,429,8,2,4,0,0,0
Kolkata,WB,1626,334,274,244,6,0,0
Malda,WB,1771,2191,32,8,0,0,0
Murshidabad,WB,1587,17667,5,8,0,0,0
Nadia,WB,1863,15875,31,48,1,0,0
North 24 Parganas,WB,7658,5231,144,147,6,0,0
Paschim Bardhaman,WB,786,286,32,25,0,0,0
Paschim Medinipur,WB,1457,6512,26,28,0,0,0
Purba Bardhaman,WB,4002,17168,16,25,0,0,0
Purba Medinipur,WB,2226,5370,16,17,0,0,0
Purulia,WB,1866,13266,2,3,0,0,0
South 24 Parganas,WB,3270,7086,75,74,1,0,0
Uttar Dinajpur,WB,0,0,8,7,0,0,0
